# Curated proper names and places observed in the literary corpus.
# Keep this companion layer separate from the Russian core: entries explain
# who or what a name denotes and aliases cover the most common Russian cases.
Щитно	Щитно, замок и город в историческом мире романа Сенкевича.	Щитна|Щитну|Щитном
Мальборк	Мальборк, крепость Тевтонского ордена.	Мальборка|Мальборку|Мальборком|Мальборке
Длуголяс	Длуголяс, персонаж романа «Крестоносцы».	Длуголяса|Длуголясу|Длуголясом
Богданец	Богданец, владение и родовое имение героев «Крестоносцев».	Богданца|Богданцу|Богданцом|Богданце
Швейк	Йозеф Швейк, солдат и главный герой романа Гашека.	Швейка|Швейку|Швейком
Балоун	Балоун, солдат и попутчик Швейка.	Балоуна|Балоуну|Балоуном
Горио	Горио, бывший торговец и отец дочерей в романе Бальзака.	Горио
Вотрен	Вотрен, опытный каторжник, скрывающийся под чужим именем.	Вотрена|Вотрену|Вотреном
Бьяншон	Бьяншон, студент-медик и знакомый Растиньяка.	Бьяншона|Бьяншону|Бьяншоном
Растиньяк	Эжен де Растиньяк, молодой честолюбец в романах Бальзака.	Растиньяка|Растиньяку|Растиньяком
Нусинген	Нусинген, банкир и персонаж «Человеческой комедии» Бальзака.	Нусингена|Нусингену|Нусингеном
Мишоно	Мишоно, пансионная надзирательница в «Отце Горио».	Мишоно
Босеан	Виконтесса де Босеан, светская героиня романа Бальзака.	Босеана|Босеану|Босеаном
Хэвишем	Мисс Хэвишем, эксцентричная богатая женщина в «Больших надеждах».	Хэвишем|Хэвишем
Джеггерс	Джеггерс, лондонский адвокат в романе Диккенса.	Джеггерса|Джеггерсу|Джеггерсом
Уэммик	Уэммик, служащий Джеггерса.	Уэммика|Уэммику|Уэммиком
Памблчук	Памблчук, приёмный родственник Пипа в «Больших надеждах».	Памблчука|Памблчуку|Памблчуком
Покет	Покет, фамилия семейства, связанного с Пипом.	Покета|Покету|Покетом
Кембл	Кембл, фамилия актёрской семьи в романе Диккенса.	Кембла|Кемблу|Кемблом
Бингли	Чарльз Бингли, доброжелательный сосед Беннетов.	Бингли|Бингли
Уикхем	Джордж Уикхем, офицер и обольститель в «Гордости и предубеждении».	Уикхема|Уикхему|Уикхемом
Дарси	Фицвильям Дарси, один из главных героев романа Остин.	Дарси|Дарси
Пемберли	Пемберли, поместье Дарси.	Пемберли|Пемберли
Лонгборн	Лонгборн, имение семьи Беннетов.	Лонгборна|Лонгборну|Лонгборном|Лонгборне
Воланд	Воланд, таинственный гость и повелитель свиты в романе Булгакова.	Воланда|Воланду|Воландом
Пилат	Понтий Пилат, прокуратор Иудеи в романе Булгакова.	Пилата|Пилату|Пилатом
Иешуа	Иешуа Га-Ноцри, странствующий философ в романе Булгакова.	Иешуа
Лопахин	Ермолай Лопахин, купец и герой пьесы Чехова «Вишнёвый сад».	Лопахина|Лопахину|Лопахином
Фирс	Фирс, старый слуга в пьесе «Вишнёвый сад».	Фирса|Фирсу|Фирсом
Чиклин	Чиклин, рабочий и один из центральных персонажей «Котлована».	Чиклина|Чиклину|Чиклином
Прушевский	Прушевский, инженер в романе «Котлован».	Прушевского|Прушевскому|Прушевским
Сафронов	Сафронов, персонаж романа «Котлован».	Сафронова|Сафронову|Сафроновым|Сафроныч|Сафроныча
Жачев	Жачев, инвалид и персонаж «Котлована».	Жачева|Жачеву|Жачевым
Бородавкин	Бородавкин, один из градоначальников Глупова у Салтыкова-Щедрина.	Бородавкина|Бородавкину|Бородавкиным
Грустилов	Грустилов, градоначальник Глупова.	Грустилова|Грустилову|Грустиловым
Глупов	Глупов, вымышленный город из «Истории одного города».	Глупова|Глупову|Глуповом|Глупове
Глуповцы	Жители вымышленного города Глупова.	глуповец|глуповцев|глуповцами|глуповцах
Смердяков	Павел Смердяков, слуга и один из персонажей «Братьев Карамазовых».	Смердякова|Смердякову|Смердяковым
Грушенька	Грушенька Светлова, одна из центральных героинь «Братьев Карамазовых».	Грушеньки|Грушеньке|Грушеньку|Грушенькой
Лотарио	Лотарио, персонаж вставной истории в «Дон Кихоте».	Лотарио
Кламм	Кламм, недоступный чиновник из романа Франца Кафки «Замок».	Кламма|Кламму|Кламмом
Бродяжник	Бродяжник, прозвище Арагорна в одном из русских переводов Толкина.	Бродяжника|Бродяжнику|Бродяжником
Чертопханов	Ерофей Чертопханов, помещик и охотник из рассказов Тургенева.	Чертопханова|Чертопханову|Чертопхановым
Дануся	Уменьшительная форма имени Дануська в романе «Крестоносцы».	Дануси|Данусе|Данусю|Данусей
Биглер	Биглер, персонаж сатирического военного мира романа Гашека.	Биглера|Биглеру|Биглером
Жондретт	Жондретт, фамилия Тенардье в парижском эпизоде «Отверженных».	Жондретта|Жондретту|Жондреттом
Понмерси	Понмерси, фамилия Мариуса в «Отверженных».	Понмерси
Спыхов	Спыхов, родовое имя и владение героев романа «Крестоносцы».	Спыхова|Спыхову|Спыховом|Спыхове
Варенуха	Варенуха, администратор театра в романе Булгакова «Мастер и Маргарита».	Варенухи|Варенухе|Варенуху|Варенухой
Маглуар	Маглуар, служанка епископа в «Отверженных».	Маглуара|Маглуару|Маглуарой
Антоньо	Антоньо, испанское имя в русской передаче в «Дон Кихоте».	Антоньо
Леблан	Леблан, одно из имён, которыми пользуется Вальжан.	Леблана|Леблану|Лебланом
Драмл	Бентли Драмл, соперник Пипа в «Больших надеждах».	Драмла|Драмлу|Драмлом
Каштанка	Каштанка, собака и героиня одноимённого рассказа Чехова.	Каштанки|Каштанке|Каштанку|Каштанкой
Грантэр	Грантэр, участник республиканского кружка в «Отверженных».	Грантэра|Грантэру|Грантэром
Комбферр	Комбферр, студент и участник республиканского кружка в «Отверженных».	Комбферра|Комбферру|Комбферром
Эпонина	Эпонина, дочь Тенардье в «Отверженных».	Эпонины|Эпонине|Эпонину|Эпониной
Берегонд	Берегонд, воин Гондора в романе Толкина.	Берегонда|Берегонду|Берегондом
Тобосо	Тобосо, местность, с которой связана Дульсинея в «Дон Кихоте».	Тобосо|Тобосская|Тобосской
Торбинс	Торбинс, фамилия Бильбо в русской передаче имени.	Торбинса|Торбинсу|Торбинсом
Чехонте	Чехонте, литературный псевдоним Антона Чехова.	Чехонте
Древень	Древень, вариант перевода слова «энт» в мире Толкина.	Древня|Древню|Древнем
# Conservative second-pass additions.  Each name or place was observed in a
# supplied book; aliases are only the case forms actually found by the corpus
# scan.  They stay in this optional layer, not in the common-Russian core.
Термосесов	Измаил Термосесов, персонаж романа Н. Лескова «Соборяне».	Термосесов
Препотенский	Варнавка Препотенский, персонаж романа Н. Лескова «Соборяне».	Препотенский
Туберозова	Фамилия Туберозовых, персонажей романа Н. Лескова «Соборяне».	Туберозова
Бизюкина	Фамилия персонажей романа Н. Лескова «Соборяне».	Бизюкина
Борноволоков	Князь Борноволоков, персонаж романа Н. Лескова «Соборяне».	Борноволоков
Барыба	Барыба, персонаж произведения Е. Замятина из данного литературного корпуса.	Барыба
О’Келли	О’Келли, персонаж произведения Е. Замятина из данного литературного корпуса.	О’Келли
Дьюли	Дьюли, персонаж произведения Е. Замятина из данного литературного корпуса.	Дьюли
Диди	Диди Ллойд, персонаж произведения Е. Замятина из данного литературного корпуса.	Диди
Краггс	Краггс, фамилия персонажей произведения Е. Замятина из данного литературного корпуса.	Краггс
Повала	Повала из Тачева, рыцарь в романе Г. Сенкевича «Крестоносцы».	Повала
Тачев	Тачев, местность, названная в романе Г. Сенкевича «Крестоносцы».	Тачева
Зых	Зых Пикна, рыцарь в романе Г. Сенкевича «Крестоносцы».	Зых
Ротгер	Ротгер, персонаж романа Г. Сенкевича «Крестоносцы».	Ротгера
Данфельд	Данфельд, персонаж романа Г. Сенкевича «Крестоносцы».	Данфельда
Сандерус	Сандерус, персонаж романа Г. Сенкевича «Крестоносцы».	Сандерус
Калеб	Ксендз Калеб, персонаж романа Г. Сенкевича «Крестоносцы».	Калеб
Машковиц	Машковицы, местность, названная в романе Г. Сенкевича «Крестоносцы».	Машковиц
Чтан	Чтан из Рогова, рыцарь в романе Г. Сенкевича «Крестоносцы».	Чтан
Вышонек	Ксендз Вышонек, персонаж романа Г. Сенкевича «Крестоносцы».	Вышонек
Зындрам	Зындрам из Машковиц, рыцарь в романе Г. Сенкевича «Крестоносцы».	Зындрам
Толима	Толима, оруженосец Юранда в романе Г. Сенкевича «Крестоносцы».	Толима
Мэкам	Артур Фэнли Мэкам, персонаж произведения Брэма Стокера из данного корпуса.	Мэкам
Сьюард	Доктор Сьюард, персонаж романа Брэма Стокера «Дракула».	Сьюарда
Годалминг	Лорд Годалминг, персонаж романа Брэма Стокера «Дракула».	Годалминг
Малкольмсон	Малкольмсон, персонаж произведения Брэма Стокера из данного корпуса.	Малкольмсон
Ренфилд	Ренфилд, пациент доктора Сьюарда в романе Брэма Стокера «Дракула».	Ренфилда
Пепи	Пепи, персонаж романа Ф. Кафки «Замок».	Пепи
Сортини	Сортини, персонаж романа Ф. Кафки «Замок».	Сортини
Варнава	Варнава, посыльный и персонаж романа Ф. Кафки «Замок».	Варнавы|Варнаве|Варнаву
Плюмэ	Улица Плюмэ в Париже, место действия романа В. Гюго «Отверженные».	Плюмэ
Боссюэт	Боссюэт, персонаж романа В. Гюго «Отверженные».	Боссюэт
Толомьес	Феликс Толомьес, персонаж романа В. Гюго «Отверженные».	Толомьес
Бабэ	Бабэ, персонаж романа В. Гюго «Отверженные».	Бабэ
Туссен	Туссен, служанка Жана Вальжана в романе В. Гюго «Отверженные».	Туссен
Шанврери	Улица Шанврери в Париже, место действия романа В. Гюго «Отверженные».	Шанврери
Шанматье	Шанматье, персонаж романа В. Гюго «Отверженные».	Шанматье
Легль	Легль, персонаж романа В. Гюго «Отверженные».	Легль
Уопсл	Мистер Уопсл, персонаж романа Ч. Диккенса «Большие надежды».	Уопсл|Уопсла
Эстелла	Эстелла, героиня романа Ч. Диккенса «Большие надежды».	Эстеллы
Гарджери	Мистер Гарджери, персонаж романа Ч. Диккенса «Большие надежды».	Гарджери
Парфенович	Николай Парфенович, следователь и персонаж романа Ф. Достоевского «Братья Карамазовы».	Парфенович
Хохлакова	Хохлакова, персонаж романа Ф. Достоевского «Братья Карамазовы».	Хохлакова|Хохлаковой
Красоткин	Красоткин, персонаж романа Ф. Достоевского «Братья Карамазовы».	Красоткин
Фетюкович	Фетюкович, адвокат и персонаж романа Ф. Достоевского «Братья Карамазовы».	Фетюкович
Элендил	Элендил, предок Арагорна в романе Дж. Р. Р. Толкина «Властелин колец».	Элендила
Хэлдар	Хэлдар, персонаж романа Дж. Р. Р. Толкина «Властелин колец».	Хэлдар
Скромби	Скромби, фамилия Сэма в одном из переводов «Властелина колец».	Скромби
Углук	Углук, предводитель орков в романе Дж. Р. Р. Толкина «Властелин колец».	Углук
Исилдур	Исилдур, предок Арагорна в романе Дж. Р. Р. Толкина «Властелин колец».	Исилдура
Гнилоуст	Гнилоуст, прозвище Гримы в одном из переводов «Властелина колец».	Гнилоуст
Наркисс	Наркисс, персонаж романа Дж. Р. Р. Толкина «Властелин колец».	Наркисс
Гретхен	Гретхен, героиня трагедии И. В. Гёте «Фауст».	Гретхен
Форкиада	Форкиада, персонаж трагедии И. В. Гёте «Фауст».	Форкиада
Басильо	Басильо, персонаж романа М. де Сервантеса «Дон Кихот».	Басильо
Зораида	Зораида, персонаж романа М. де Сервантеса «Дон Кихот».	Зораида
Костанжогло	Костанжогло, помещик и персонаж поэмы Н. В. Гоголя «Мёртвые души».	Костанжогло
Афраний	Афраний, персонаж романа М. А. Булгакова «Мастер и Маргарита».	Афраний
Бретшнейдер	Бретшнейдер, персонаж романа Я. Гашека о Швейке.	Бретшнейдер
Левко	Левко, персонаж повести Н. В. Гоголя «Майская ночь, или Утопленница».	Левко
